ELECTORATE,URL
Blair,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-304.htm
Bonner,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-310.htm
Bowman,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-155.htm
Brisbane,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-156.htm
Capricornia,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-157.htm
Dawson,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-158.htm
Dickson,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-252.htm
Fadden,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-159.htm
Fairfax,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-160.htm
Fisher,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-161.htm
Flynn,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-311.htm
Forde,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-162.htm
Griffith,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-163.htm
Groom,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-164.htm
Herbert,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-165.htm
Hinkler,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-166.htm
Kennedy,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-167.htm
Leichhardt,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-168.htm
Lilley,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-169.htm
Longman,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-302.htm
Maranoa,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-170.htm
McPherson,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-171.htm
Moncrieff,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-172.htm
Moreton,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-173.htm
Oxley,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-174.htm
Petrie,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-175.htm
Rankin,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-176.htm
Ryan,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-177.htm
Wide Bay,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-178.htm
Wright,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-316.htm
