ELECTORATE,URL
Brand,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-235.htm
Burt,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-317.htm
Canning,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-236.htm
Cowan,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-237.htm
Curtin,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-238.htm
Durack,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-312.htm
Forrest,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-239.htm
Fremantle,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-240.htm
Hasluck,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-305.htm
Moore,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-242.htm
O'Connor,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-243.htm
Pearce,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-244.htm
Perth,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-245.htm
Swan,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-247.htm
Tangney,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-248.htm
